uname,mid,roomid,follower,guardNum,cal
北东西南south,2079522008,25351100,14913,37,-143.7267230920396
北柚香Yuka,480248442,22381346,84595,53,-17.687029964970293
酒酒从不掉头发,28205705,10076237,2203,5,-296.97372301273145
十盐烤兔,13896589,164879,2733,4,-284.30596121216047
千叶是棵草,1662426,576643,16363,22,-152.84387686500804
千响_Official,12212502,23170704,6354,8,-226.81635573981214
千圣Chisato,1557202606,25910607,2507,20,-273.7782109767643
千塔_sr,84066005,11871552,5320,3,-243.07690787991726
千夏official,524787140,22724842,4242,39,-221.4331054330986
千夜白_Channel,1951478555,23066288,2131,5,-299.08042352494766
千岛尤樱,1810786106,24063763,47875,72,-34.779490740981146
千幽Chiyuu,690608691,22605464,60621,113,21.185947399613724
千春_Chiharu,558070433,22389319,104135,63,5.4883124015156
千春葵,220293909,24939060,14279,22,-161.48103397571936
千洛爱吃肉Chiro,424729808,21444278,7560,6,-217.7982818543951
是只阿璃吖,402830371,23081757,3107,4,-276.17442154448077
千瑠火Ruka,2066224812,24167371,11294,15,-183.34949515924166
诗星羽Channel,145998448,21034198,1120,1,-343.8632766640685
千祈_senki,352205410,21109751,962,5,-349.5044838277942
千耘official,5658712,1129453,4178,4,-257.39692446981326
千草はな,8119834,12770821,116039,2,-48.64938526155663
千葉凓溧_Official,481694654,22924520,370,1,-414.0839094425337
千雅Qiana,1292417066,25820273,1878,10,-302.0931673706956
千雪汤儿_Yunokawa,4664744,494466,2436,1,-294.59965933219144
千零莉露卡,1803585918,23251345,11371,3,-194.91871476819256
文静_千鸟Official,667526012,22622535,110997,1,-52.46581408600002
琳_千鸟Official,1620923329,22622469,22926,3,-150.4622934828078
艾瑞思_千鸟Official,1090010845,22622290,26804,2,-141.5541736634999
千鹤-Chizuru,1311405530,22995913,3736,1,-267.48613132129026
午哞哞,1658766768,22821718,16296,47,-128.10400766871896
月见果Channel,24626465,6519380,34284,3,-124.94968110200978
单单不单单是单单,1958934,9695039,25469,26,-120.79322284233047
卖火柴的可可亚,719049,53428,61522,22,-68.87868281018507
南关关_Official,470992099,22180986,1800,1,-313.78264075773814
南小棉Minami,488744718,21740861,8657,1,-214.20776875491993
南流景_Meowsica,1869949659,25728170,1812,17,-297.36137674937464
南海星光Seikou,1566652449,24565985,5616,12,-230.64402844226197
卜冬Bodon,259285720,22526231,1110,4,-341.43189034097554
悄悄Qoo,1436878388,23831283,6629,67,-165.13013404189587
卡农_Channel,835644,735709,54631,38,-60.41018102400585
卡呜Kawo,3493081923979268,26421557,17971,11,-157.90097267786973
卡欧斯_Chaos,628292881,22389314,42307,4,-110.6183231990666
卡欧莉_KaOri,37328,180696,22801,1,-152.80891669186758
卡氧吃不饱,1099227208,25347962,20446,33,-127.72060275370472
卡米尔doffy,1999095012,24629856,5604,41,-201.77964346723275
卡缇娅也不知道鸭,1011797664,24697117,89624,153,85.97419184312457
卡茵,2029411327,25904274,10852,23,-177.88056368242258
卡萝尔Akuma,1942864208,24827493,75546,57,-20.859688854033493
卡蒂娜CardTina,2031213010,25629638,2290,12,-287.51813007883874
卡诺娅Kanoa,688053738,22529843,43037,36,-77.53369794642038
卢塔斐雅Lutafia,1071969272,25033029,9413,74,-135.89970073590632
卯月_official,2718136,4094042,1887,27,-284.79005922363393
卯月羽音Uzuki_Uno,3244791,2410098,2670,2,-287.7845401616017
卯雪眠_Somnia,1313300815,25987850,14155,45,-139.03400927558357
卷毛姆,3900277,23523251,21229,2,-156.33797324261104
修普西娅_Hypsia,377711190,22707677,6594,5,-227.46576214175172
压刹channel,597701,1375798,40716,53,-64.04853531612059
原味奶介呀_,81552504,3248270,11052,20,-179.7227521048543
原野牟牟Mumu,1453221585,22937884,13318,23,-164.8983289786861
三千院可奈,3188835,1766019,22274,64,-91.29148230577698
又一充电中,1217754423,23771092,38562,103,-17.494566234401873
友利Mori,279704683,8915924,126460,105,59.80299642423904
友夏Uka,690608712,23550793,31617,149,15.915944556769773
双尾彗星,48330353,1496449,242875,218,214.17915863549558
古乃叶羽留Channel,1813007857,23709294,7351,1,-224.57569019048287
古堡龙姬,686201061,22587430,293814,92,100.25051903938265
古守血遊official,2299184,8725120,229845,344,336.6831723829364
狐坂紫織official,498231490,21823053,17010,3,-169.38530614627985
召唤师yami,487902,7595278,103697,64,6.221084629932534
可伊Koi,11909915,6032530,6107,1,-236.33009483365322
可可羊coco,34275382,7490086,1720,4,-313.6649552742046
可嗒_Keda,396463331,22852241,22014,3,-153.03589114681643
可妮Koni_Official,1372936974,24441860,75804,76,-1.6435380004631952
可愛的島風,14248896,370159,321065,4,17.873888600518285
可诺Kino,24924516,5058245,17530,61,-109.47618680017126
右左枪枪,3340395,7971395,99,1,-497.669401501467
叶卡yolka,1964304376,22663601,2892,1,-283.7207928201332
叶小满Official,5015535,22111677,5356,1,-244.64933038817867
月休Kyuu,189745,43558,2981,20,-262.7991064608102
河黎有片小叶子,3461578781362279,26213288,24079,307,156.64864647836623
叶砂Hasu哒,17391103,2554823,16211,13,-162.43556778082427
叶秋羽NHz,9667357,2288529,21935,21,-135.26381921773998
叶青玳,24970050,1304841,9273,8,-202.84973456726573
吃一口药药,1191287283,25587101,4372,61,-197.51933115460645
吃肉包的怂鼠,24957521,4726132,93325,116,51.5396654598286
吉吉Kiti,690608688,23017343,36945,12,-111.21043300927784
吉尔Sophia,5704592,2770277,21653,2,-155.08418488971756
吉诺儿kino,1383815813,23221095,158943,15,-15.702521268571445
吉鲤yuriri,6716902,2371727,27736,22,-119.38715670106797
名乃_NAN0,3215962,345745,39961,43,-75.23520307612353
名無しタコ,441569,827024,2836,5,-280.9604971228621
吐司Awu,667037266,25040389,3211,5,-273.08699019472476
向日葵なっつofficial,1761499833,22959964,31799,29,-103.72014628213185
向晚大魔王,672346917,22625025,581619,519,570.5443933588849
君澜Narada,401843345,23082354,6394,3,-231.41848810210558
君野莉露露_Official,1253510454,24936969,8124,4,-215.23655970080256
tsuki吱吱,1161258028,25474594,1958,3,-306.44836261606514
吱吱爱吃芝士,12548532,847916,15828,12,-164.95143012116307
呆呆喵,368097,1301450,63380,26,-62.99230965227264
呆宝捏,454832623,22638694,2163,9,-294.1354595945761
是喵九玖iota哒,27697073,21654496,2350,2,-295.87838350743783
呜米,617459493,22384516,695890,435,497.9168322458245
味噌缇露official,1430541064,22613059,9483,1,-208.42996954397177
和水_nouille,96264399,23129160,109914,52,-2.0874467804231926
和玖_Official,481447539,21822103,703,2,-372.39037305920385
和茶_Official,257319,39160,21146,25,-133.58633698205733
大铁柱柱子,1620747197,22714840,11306,5,-193.282167719286
咦我的头发呢,17511965,14343955,47579,58,-49.172695010116286
咩噗绒绒,1394998893,25158669,28969,64,-74.62956835420482
咩小忒,16955731,24291689,5043,18,-231.4670428403357
咩栗,745493,8792912,847600,285,360.420404280856
咪崽捏,389891666,23847430,5696,28,-213.74726667397908
咪诺今天也要元气满满,49142760,22815234,45232,16,-94.37989093222427
咲来希希-Official,1828986549,25156871,19164,3,-161.82599020660905
咲花なる,1354255177,23720185,29916,80,-56.59017030804728
咲间妮娜Official,573930836,22566228,71092,49,-32.712312174815565
咲间芽,20098960,14277266,1471,4,-323.57956451386883
咸味猫鱼君,457061412,21788627,7228,4,-222.64550088145165
咸蛋黄饭团-official,1382719257,23517719,8544,72,-144.04077881992157
咸香椰汁,2766325,64751,2117,11,-293.4983158100495
咿喔很哇呜,1223229089,26032691,45781,72,-37.61501070258055
哒叽luna,629814419,23998995,12741,45,-145.70640143658045
哒哒魂Da0a,10952273,1068885,1407,3,-327.39976537894773
哲十八Sigma,11707013,90952,26644,21,-122.93375869200338
唐九夏还想再躺一下,1219196749,23303212,217952,166,155.31471049820232
唯茉瑠_Official,1231880683,25092367,22691,2,-152.11552064824753
唯诺Vilor,240724,12171,14320,1,-182.2992512713721
啊昭是啊昭,5320543,9535371,6482,6,-227.5518700733254
啊黎喵,385042281,23336213,18924,21,-144.62499258998423
啦比_rabby,1308913495,24040860,2046,9,-297.66110059116636
啾铃Jolin,1109759825,23993070,76641,24,-52.94733499946142
喑铃忍_Shinobu,3946421,14629550,2496,4,-290.0570041503772
喵哩MeowLi,1927633577,23248004,4716,5,-248.71738901092965
喵奈nyanago尾巴超大,1836495,102153,134288,7,-34.38915553114657
喵川fufuki,1307325151,24935963,3470,3,-270.1689140555467
喵波菈-bola,296880903,23575177,155095,72,39.74368326141075
喵田弥夜Miya,846180,3012597,126544,58,12.845095364933172
喷火龙Official,66733002,22469889,12111,11,-182.9214794363653
嗣音壳壳,1386205390,24951826,7635,33,-190.17241300081673
嘉然今天吃什么,672328094,22637261,1702765,27103,27222.648234959
噜玛RUMA_channel,1300801804,25354530,3608,21,-249.69637693302866
嚼着软糖想昵称,230487728,6615406,45695,62,-47.73422014782045
四六间琉衣,1907738575,23148722,1552,1,-323.1811989728834
四日猫yokka,3324664,29952,6964,1,-228.00451032369585
四禧丸子_Official,1129115529,23770941,32361,1,-130.60943208903961
回收娘Official,14675261,282848,21204,2,-156.412679258372
团奈,414827620,22257854,21551,11,-146.38354661617598
团小哈,686241472,22520319,69078,93,9.465666165768994
圆咕鹿,32839394,22117557,15483,108,-70.3486314398126
埋宝宝OwO,438756539,21483983,7251,1,-225.444077961841
城间叶,1436893874,23722214,12187,14,-179.52486936858998
塔克Tako,9066351,21737386,367329,476,498.4084358164075
Nya-尼桠,519445886,23142425,6385,22,-212.507790879215
塔洛斯Tartarus,1257095895,23158420,10689,4,-197.84007319903185
塔菲毛球_Toffy,493083336,22367675,3640,3,-267.1365498960082
塔蒂娜Tattina,398431,24173090,28176,58,-82.38928233133845
塔诺_Tano,7912791,1715526,3303,3,-273.2960206302239
塞拉菲娜_Serafina,1025491703,23941099,253045,135,133.77985394988627
墨喵星突突母舰Official,845921,10525,51406,2,-100.26785483220578
墨姬wow,1375248534,24810124,2876,1,-284.0725274254846
墨神雅雅,4339573,675516,483,3,-395.1869441584269
墨菲丝Moffys,1405239035,22882148,13423,10,-177.40043928028388
墨辰星的笔记本,50729578,4039669,173,1,-462.2813129088408
墨青玑,1098845992,24855932,7613,2,-221.3553617111861
夏凛karin_,895536,809981,6469,1,-232.6791498628113
夏卜卜,2049968320,23343237,44497,114,2.581424979601934
夏原哈纳比_Official,1463794242,25161145,11904,15,-180.01447340157995
夏威夷_椒椒,3070918,1700323,5775,17,-223.87398985627442
夏川玥玥Official,1802011210,22758221,335453,241,257.653234432649
夏希_Channel,6188267,3223313,2668,5,-284.8320485939484
夏明Official,503120652,21813878,16225,7,-168.38083846431675
夏诺雅_shanoa,1612112,1321846,325017,59,73.64951746813392
夏野铃铃,1354106821,24163111,23244,39,-113.58893334343725
夏音梨梨,7340453,2807112,11527,7,-190.05483556269587
夏鲤鲤不是非酋,3338927,625946,8077,42,-177.60441456895842
夏鹤仪Tsurugi,477597410,22486793,22775,12,-141.88125301707476
夕兔_H2,2128310,399854,57982,102,7.364092640258605
夕兽-xixixi,629113175,22796087,1622,1,-320.3842741215823
夕岚Cilla,1239518334,23608809,13958,4,-180.922566486812
香甜小兔子,3592916,51047,4882,2,-249.5241300895858
多多poi丶,11253297,392523,2551345,102,247.28511992250696
多莉Official,5453827,2763361,12410,18,-174.37525052220542
夜分Melanin,482318682,24321905,3885,1,-265.00671813836925
夜原没有小尾巴,336442974,22845802,30174,26,-110.04574359763876
夜宫Yomiya,690608689,23260856,38639,38,-82.36809632808445
紅荭纮虹讧叿红,1523623,3668335,30623,1,-134.10927904986454
夜想音息,2025918003,25691012,33636,3,-126.1594704595932
夜月Yotsuki,581843164,22279402,11360,11,-186.9800759097559
夜月心音Official,136322951,24406195,15557,20,-158.04633705267645
夜月瓜瓜sukuyi,99332435,25207004,8081,43,-176.5730245447994
夜桜ゆり_YuRi,772698,662567,216,1,-448.2073489528239
夜樱诺娅_Official,612321074,22781033,7424,4,-220.94919439885336
亖文鱼kiru,23120066,1026896,24568,22,-127.07671606155031
夜羽玲夕,670725269,22479430,13788,100,-85.6994809878297
夜色喵喵-,1975072701,24930492,1172,8,-333.9859940933169
夜若弥音Mion,634883736,22468249,9286,28,-182.7609151120364
bili_4365283,4365283,4942796,313,3,-422.69071771975433
夜萤秋月,9000964,9226050,30181,44,-92.03103727663836
夜行性あんこ,1048095329,23547904,11048,5,-194.7457023313492
夜见蕾娜Official,628292890,22543160,38417,1,-119.7334108770309
夜霧Yogiri,427061218,21618129,73649,1,-78.47202548621055
夜音Yorune,1015944851,25872304,4109,20,-242.45272297279178
好宝宝夢乃夜紫_丫姆,1265380228,22881295,1412,4,-326.1748626954279
夢河夢_Official,1056226751,24190721,19847,21,-141.6057638484108
梦追翔Official,511613154,21908182,54921,3,-95.07452228758757
大的蒙牛,5778298,513005,78342,9,-66.55559873727168
咿籽芥末大尾巴狼itsu,10880609,95162,41335,4,-112.09192675465852
大神澪Official,389862071,21133979,156802,1,-30.56233840232653
大舌头Annica,1517067289,23749827,48566,17,-88.87095288451053
大藏优介-Official,492724746,22960160,8757,2,-212.47961098629094
大钉子欸嘿嘿,19659802,308299,15079,3,-177.02490210840858
天上院凛花,13676468,23840076,7855,29,-192.37138808627174
天不生我小樱桃,434103940,22375050,6543,2,-230.95802312125852
天仓五Alice,126401,202739,4258,5,-255.19442279825284
天使猫Parfaitty,1404424740,22909154,32734,6,-124.88284913102643
天岚九歌w,1193621985,25904954,12550,21,-170.66402511490048
天川花乃official,482515510,21693692,35176,1,-125.32123569143505
天才Yuano,1120544917,23167624,15643,11,-166.6968233469837
天才女仆春日宴,486364707,24058070,22738,15,-138.9843356755141
ShyAmir,8212351,78454,1677,4,-315.27010430040855
天才果奶,278406849,23165805,1837,22,-291.49263199736106
天曰小雏Official,2007781080,22989215,219390,66,55.731636055558965
天气阿准official,490981706,22622779,110134,9,-44.96067439760395
天羽syui,1560641990,22733015,13303,1,-186.96977633984034
天草ミライ,2005932785,23359755,2196,2,-300.17549631329473
天葵Aoi,1704076207,24647381,7736,47,-175.3392216457595
天野凛今天跑调了嘛,394760624,24479297,1345,1,-332.25693488492146
天雨Rainfall,863287,5224688,21260,21,-137.24545986979751
天音Sora_Official,3461572502489809,26422901,106027,140,83.629870254406
天音マリー,1801527765,24813281,148981,55,20.193795405148535
沫茗Awako,9411611,271675,14044,18,-166.5331359359203
太皮鹿Channel,238742575,21516855,1735,1,-316.11444530304715
奇桀,1258851931,23109722,3491,2,-270.78638164954066
奇纳_Kina,1768511,1239512,11822,4,-191.45271168023453
奈丽莎Carius,13226045,305788,25911,16,-129.70239017207177
奈亚初Hatsu,1785284354,25320181,22814,10,-143.7727794553307
奈切尔Official,1033698887,22605564,8067,14,-205.68295769099586
奈奈大芙,1011812576,23370653,61170,21,-70.24246954819887
奈奈莉娅Channel,489146840,22301377,182154,136,113.9393321183278
奈姬niki,3035105,3415150,513130,328,371.60123751275296
奈璐Naru,474856218,21981503,11653,1,-195.36557942125512
奈祈Neki,207429670,25034895,12923,13,-176.80716566350293
奈绪川佑里,167801,5314461,329,2,-420.5299386014754
奈芊歌_Channel,702843929,23162141,3830,23,-243.9106867901246
奈芙Nieve,1699152346,22852412,18415,25,-142.35361944906094
奏Kanade_Official,1027871419,23052050,342593,45,62.98852063145296
奥克塔维娅Channel,403880852,22340293,50981,1,-101.7941942064773
奥卡塞特丝_OrcaCetus,1219797330,25693098,2878,2,-283.02845373584034
奥因杜卡,926620,1053420,4627,12,-242.9253031032962
女巫Vivian,374017536,14239687,16932,7,-165.6766978559724
糖不甜甜甜甜甜甜,15033230,22387943,4216,1,-259.82289147997597
奶思初,342193167,25191122,2934,2,-281.8066678182345
奶油萋萋子,169710597,21069762,23197,27,-125.7172596506797
奶芙wuhu,529341976,24334012,27433,17,-125.08357654403653
奶茶姬,130209,10244,110617,96,42.3167626139234
奶豆豆o,1953558829,24061115,10678,18,-183.90535143758768
纱世_sayo,472848826,22404256,68323,42,-42.23108977875654
好奇小然,50635063,21367919,12313,2,-190.87274933353194
妖妖and鬼鬼,1250051924,25101594,24233,37,-112.94716271731477
妙妙子Official,674539396,22495291,389099,91,117.0587482385381
妙蛙理子,1458295838,25340866,10869,45,-155.78132329569394
妮特_Nito,839059,739818,48938,39,-66.3871796150205
姜南星_,399923919,23426285,8188,30,-188.73905837407324
姬川铃,1567721686,24743822,4182,15,-246.33625460872418
姬村银_Gin,597998292,22610978,2789,7,-280.0200062244172
姬野青,2240157,3471186,48091,83,-23.494089179475054
娅丝咩Yasumi,511017,17305,7968,9,-211.46583012663484
娅可Arko,1169958017,26192718,11896,31,-164.05709525192458
奥姵莉娜Abelia,77575804,21688663,1526,1,-324.2523095690649
娜纱Nasa,630559288,22605804,12894,9,-180.94959900380616
娜露Neru_Official,432194062,25345953,34512,1,-126.52944582892542
dsailab,411812743,21345362,34191,1,-127.12189588478816
嫣然Laurel,348677594,24650593,15554,33,-145.05856423924013
子中中Channel,764750,40367,11762,4,-191.77530396373822
子凌弈秋,32410214,901625,32503,22,-109.33184161104725
子彧_official,35749736,510409,46361,1,-107.81684079794547
子狐Channel,19950322,14414417,2264,1,-299.2420729469171
子猫球official,1892225500,23745448,3708,6,-262.96308144812383
子花酱Hanako,75937648,21725187,236490,39,33.49012025257878
季毅Jiyi,359081808,13990730,65324,24,-63.07692280873346
孤独Kodoku,3672017,4101456,19146,7,-157.88556734490066
宅虎tora,174211723,15119219,3509,1,-271.4603237880241
娜贝可Nabeko,305632924,11393303,21253,4,-154.26633818955895
宇佐紀ノノ_usagi,313248263,10413051,103791,57,-0.7214701162914707
安可anko_Official,440738032,25839275,41603,82,-33.68219275725835
安堂いなり_official,392505232,21224291,101430,59,-0.18032671093942554
安宫颯翼__Dingt,383994444,22745079,1240,2,-336.41025384481816
安心愛,37786223,21422786,68731,53,-30.85361409161112
菠萝子_official,297361951,21755112,4095,4,-258.6691054353935
安晚aWa,1377219279,22775974,6989,3,-225.77731879555006
安晴Ankii,44903085,14197798,240951,17,12.67491850372528
安曦Anxi,16957103,8389046,576,2,-385.0227743118805
安纪亚,1768094747,24153954,11255,12,-186.56880443819125
安蒂维娜-克莱因,2119815078,23626594,17291,60,-111.34651435843637
安西娅Anthea,1342050054,25985019,11921,23,-171.92399699587872
安赫尔Angelos,2096043427,23937823,10675,19,-182.9231662646613
安魂殿里的R93,97439580,3927637,26671,1,-142.86954411275394
安黛莉-米拉Official,3951862,824121,1412,5,-325.1748626954279
宋三岁sss,35819875,515759,4004,32,-232.09388449641392
宙宇尘星Duststar,4024901,1254342,2858,4,-281.47057547174586
宝丽尔Masa_Channel,1639833,8690703,8575,1,-214.81116235303546
宝叽一,2096422,200344,17450,61,-109.76618158822168
宠儿voli,18982435,22658277,2674,31,-258.68962996423625
宣小纸不怕火,3461582034045213,26276187,19980,309,146.8176791096414
宫园凛RinMiyazono,12485637,784734,24396,15,-134.52213901940365
宫本夏凌,1319467,77224,8904,1,-212.4241763866288
宫赫音NHz,2109291877,23958320,119787,16,-32.633973813306056
宴宁ccccc,14897804,7953876,1349865,93,197.92366021926523
家长麦Official,436596837,21463227,93592,1,-63.27920803468055
宿雨anna,1360561961,22812042,2621,3,-287.95886970929604
小丸Official,15097846,3173023,51671,30,-71.94186480503163
小伞一把Kokasa,1740548,26283,121325,2,-45.82513375106544
小八_Eight,424005,805405,8440,1,-215.81723694679386
小凌酱要很努力,1299484808,23067043,1817,7,-307.18667286368276
小千村柚柚,2138602891,22815988,66125,58,-28.30424247521796
小南莓Official,488006873,21745484,6883,2,-227.7462534559437
小可学妹,14387072,6374209,428647,201,233.19586357417325
小可爱焕焕吖,1483670,3006360,5135,3,-245.32085324220748
小司无常,8760033,14846654,61232,95,3.8217581659915822
小吭叽qwq,33887063,419589,7240,6,-220.54033082692308
小喵唧Official,18013161,14963868,58877,34,-59.664752215474664
小夏夏儿,25852539,516281,38806,59,-61.094668310500765
小夜子Sayoko_,2004980155,24344580,10802,36,-165.17335075491008
小天夏,1943729690,23742584,10366,15,-188.78543597927205
小天柴_Official,1986925924,24119432,18006,22,-146.77761605002206
小宝安奈Ana,1908808301,24428899,3753,6,-262.1982953348397
小小约yoo,1359949418,23224539,333492,150,166.281521493196
小尾巴七饭,1288322599,25175443,30187,67,-69.01843457317784
小川尚未,393004195,21302070,17005,12,-160.4039449822218
小恶魔channel,6483727,3558274,208796,26,12.593762787384549
一只东北狐,2137105227,25356103,3217,13,-264.9686329730457
小日向木白kishiro,62778929,22783226,10088,1,-204.50894095732258
小春_Koharu,1095803401,23710136,12293,53,-139.97581364949065
木子汐suki,356395260,13040765,14510,1,-181.46358187132
小东人魚Official,441382432,21547904,145090,32,-4.484056526483073
愿YMr,1731746796,23751133,4863,3,-248.77135462039996
小柔Channel,1734978373,22696954,272161,838,841.3970517944995
小桃Channel,1084222017,26065877,61710,93,2.3147606013781115
小棉不是小菜包,231881947,13549071,11365,25,-172.95217711942678
小毛Miya,3866641,4101960,2860,19,-266.4262242981988
小毛拔了个火罐,4071581,1050301,56007,30,-66.83309361519525
小沧穹Official,124553204,23275136,2764,2,-285.5908726781287
小熊猫玄玄,109798,74446,7784,19,-202.94705544690567
山吹涩狐依诺_Eno,3461579420994302,26279304,5158,6,-242.0375145796222
小狼XF,298484,846315,1458033,3,112.81076550750163
小狼崽芬里尔,125964693,5882130,24318,2,-147.72516912270657
小玉叽在画你喜欢的,677977564,24476940,3575,29,-242.27892314487792
龙璃Ruri,385160231,14972135,1081,2,-345.1103087616742
小禾mohu,2111566071,22874107,46043,12,-97.25321324052959
小禾快快长,1641265464,24970821,2821,8,-278.29671852247344
小粒Q_Channel,482480476,21697918,68566,1,-83.0059991406091
小紫花小XIGA,662172,271115,11314,7,-191.2373224477434
❀Sakulaˇ小舞,264161,837039,335590,44,60.6791218947659
小舟潞Kofunero,1831179515,26376932,490,17,-380.2746982039638
小艾咪不吃鱼,477904396,23950097,801,5,-361.116415955866
小苏婉呀,2045277190,23976580,3715,17,-251.84350711657214
小荧Lumos,76080175,23242223,41901,6,-109.22968077685596
小莔莔子,1575790132,24587207,4076,7,-255.96395359867824
小葵_aoi,3461564369733705,25814163,32321,77,-54.68784649562201
小虾鱼Official,358695457,13576775,218755,2,-8.45213428616512
小豆沢あずきofficial,249243,8688111,28327,58,-82.05041810144974
小野寺杏砂Channel,1267463286,23178720,13710,4,-182.05915901992682
小金official,375808112,23287807,1085,1,-345.8761441372129
小铃久绘Official,1875094289,22754458,171300,321,295.0442847853942
萧君羽_Official,2361123,21319517,3414,9,-265.20043012733197
小风铃是只咕咕狐,160450916,5293697,77323,35,-41.38565716820847
小馋狮,1494451119,23065710,13222,6,-182.35698960755064
小骨大魔王,1034537291,26106772,1430,10,-319.3717555456994
小魔-Chima,565227904,22196167,2918,5,-279.15335357615487
小鸟游千岁,3461570239662267,26059927,22876,104,-49.600715440767885
小鸟游杏子Official,1069108539,23472646,154466,125,92.48603675631591
小鹿比酱又迷路啦,562935153,22195813,6638,45,-187.04411608945315
尤利娅Yulia,650573749,22506899,28339,13,-127.02356602043551
尤弥尔帕_Channel,1442355434,23612283,6517,10,-223.21045837052714
尤旎蒂_Yunity,13856460,673353,12575,15,-176.5378559190326
尤格Yog,690608709,23550749,123167,142,95.13019410951313
尤狸Yuriri,230927369,5885218,48258,2,-104.27430878522341
尤菲黎娅_Eupheria,504062903,21925057,21096,46,-112.73642464270006
紫海由爱Channel,525105971,22067425,97460,26,-35.71169014039867
尼亚_Nia,877530,316536,5496,15,-229.0134121306014
尼奈nine_Official,163653,162180,455677,295,331.0728045647968
尼奥喵Neil_Channel,12120515,2425420,55875,51,-45.98269415653385
尼芽Niya,589351234,22243143,15487,10,-168.3322543005545
尾巴困困,75094637,23562312,29995,4,-132.42296886247198
尾幼mayori,88271743,25755118,23642,76,-75.5125435423256
尾音猫,3934727,216685,31504,10,-123.31105462427729
山奈小师妹,22089831,3292300,6521,13,-220.17155669727106
山崎薰薰,214854,755940,84674,11,-59.62785078433285
山有鹿汐,9418083,3755384,22918,3,-150.48442069706266
山梨Official,453801943,21545501,9464,2,-207.55712428126867
山椒阿露波Arpa,1323227037,23252619,98013,98,36.647032481493056
山海之麓鹿Channel,4013175,291482,23961,1,-149.6628112670794
山田啊酱ああああ,1344723,650912,11696,15,-181.13206166186183
山県透,7832707,14795432,13391,27,-160.55176328738116
浅野山霧Yamakiri,1969028,22993,4410,1,-256.9706600008475
岁己SUI,1954091502,25788785,26963,103,-40.1791990736848
岐夭夭,53536596,25038353,5683,26,-215.8921300817625
岱川Doris,1643484295,22900071,122065,169,121.56038861685431
崇光夜熙,1817276,394681,17099,4,-168.05444843683915
崔小茶tea,1788435884,23215156,5735,52,-189.314651925676
崭望Nozomi,1621882754,23147054,16316,1,-174.0262448722658
嶌永爱娜Official,1563595452,22697777,19946,4,-158.29030067902113
川井月,9528430,22212578,10777,13,-188.32025290136085
左岚是山风哥,82343185,3252961,23817,1,-150.04497994906967
巫沐Umo,1322881625,22705839,79056,8,-66.98039561517726
巫菜乃Nano,1874711872,24747647,32586,2,-129.17014907153214
巫贼_ikataruto,425286,292397,67567,141,56.06347355187586
特尔晴懒散的一天,12678325,4607691,880,4,-356.1529510662592
巴老师的小号,1588646945,25206807,88949,365,297.4948897781742
布鲁布鲁荣,1097060010,24650238,12556,42,-149.63372160121912
帅比笙歌超可爱OvO,15641218,573893,144031,163,126.05149502278653
师音Sin,2565338,23154262,29476,6,-131.5295732703711
希亚娜Ciyana,1926156228,22608112,185718,65,44.16782827938721
希侑Kiyuu,1155425566,23805066,73484,149,69.38577657878761
希依Kie_official,2099399911,24489656,1444,3,-325.7540749466943
希姆sheem,31346060,1286225,2190,2,-300.34895743381134
希尔维娅-Sylvia,752015,21756256,27563,23,-118.78384509625766
希弥尔Hymir,3461571703474731,26045551,2765,21,-266.567939055162
希拉Sheila,1021344512,23414796,2575,19,-273.0814548495971
希月萌奈,591892279,22889484,204728,904,889.3463405327329
希洛伊Shiroi,1723206278,23985703,21466,38,-119.63409904957075
希维Sybil,1405589619,23805059,30442,16,-119.4851222859686
希罗_KiraraChannel,8230334,400605,1924,1,-309.5589525802937
希羽酱Gu-8-,35047473,25698413,1662,8,-311.83973975866405
希芙莉Sifly,1578580407,25985006,6326,21,-214.09635619492133
希贝尔Official,430219038,21660284,29188,5,-133.15207929425856
真理纱,1788955114,23113574,37828,13,-108.71297262821543
帕拉露_Pararu,8172211,94770,3377,2,-272.891292507555
带袋浣熊Rakky,296683456,11574776,73651,10,-69.47030382972707
幺幺yaoo00,89557497,13683908,27031,4,-139.0195071716471
莉莉幽ririyuu,2115139772,22877717,32107,52,-80.10901896397979
幻想乡的琉璃猫,17059522,1495477,3031,2,-279.7445245945353
幻想口袋喵w,2965629,757321,34313,1,-126.89607525599513
幻梦喵不压塌炕,400141456,21264737,31608,10,-123.1021052654163
幻蓿不太甜,7279031,12032317,5495,25,-219.02494884248836
缪缪Mio,14980676,2537902,1522,12,-313.4187138640686
幼栗突然出现,2082574877,24604089,5552,79,-164.37068396136704
幼薇喵nya,663577831,22500194,8752,23,-191.51582093644436
幼虎Dodder-8-,5430003,25203370,11950,2,-192.76995226339773
幽乜Yume,1164975438,22809132,121274,72,24.14820991442673
幽刹Yocha,1827016353,25357579,8067,48,-171.68295769099586
幽子yuko,34528147,3405174,7365,4,-221.45505954794737
幽灵事务所_XPEC,4763529,40529,79185,4,-70.8770266803026
幽灵车尔尼桑,21693393,370468,11495,44,-153.2310844816924
广音笑颜Channel,216379,761162,9360,12,-198.2576838954982
库伽Hakuja,690608695,23260979,43644,13,-99.64574259126562
库姆诺kumkum,521537808,23680334,5738,10,-231.28149581928085
库沃帕Kwopa,1662679564,23235886,15325,7,-171.99893576500028
库若米Kuromi,1306091103,24494586,15566,52,-126.00966963527424
